data_seed,n_mofs,R2,MAE,RMSE
23,526.0,0.918394437294718,0.0331547906852971,0.0504808792635771
24,526.0,0.924389712926448,0.0336759406327088,0.0513429760814689
25,526.0,0.9225272023883536,0.0327485465509882,0.0489712568027003
26,526.0,0.9191640268365896,0.0347944184371848,0.0541097200153068
27,526.0,0.9151172142220392,0.031679963950009,0.0492734710856823
28,526.0,0.927987646634181,0.0324374707466287,0.0498158291442766
29,526.0,0.9132603094600248,0.0348700328422978,0.0528980963548711
30,526.0,0.9194387992886196,0.034202726657003,0.0504425770852431
31,526.0,0.8973226135519289,0.038249180811047,0.0602929565453968
32,526.0,0.9100761415145392,0.0349147326182948,0.0555669745081655
mean,,0.916767810411744,0.0340727803931459,0.0523194736886688
std,,0.0086319291827767,0.0018402310635196,0.0035320141973635
